Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,11371677.88,2.1994983625,-0.024,1000.0,2.99807640102726,,3.57438018629265e-08,7.59905100220186e-05,6.78709630793222e-05,0.0001018873163976,41.7696512125801,1.54152473719808e-08,-1.99510305427476e-10,1.54165383890591e-08,-0.741503525730479,333,25,5,13.4965986394558,-0.076805167652275,0.0006439787762855,4373,0,2.1985683,2.2000377,-0.024,-0.024,,2.1940375,,,,,,,,,,,,,,,,,,,,,,,2.1994983625,,,,
,11371712.36,2.1941088875,-0.024,1258.90027958993,3.00031529927546,,3.03081388441181e-08,6.56665112489333e-05,6.20456191563146e-05,9.03424017618345e-05,43.3759861121986,1.53826728090045e-08,-3.86593335333842e-10,1.53875299237991e-08,-1.43963959731451,419,25,5,13.4965986394558,-0.076805167652275,0.0007875636955479,4373,0,2.1890721,2.1981132,-0.024,-0.024,,2.18745,,,,,,,,,,,,,,,,,,,,,,,2.1941088875,,,,
,11371747.04,2.2094899875,-0.024,1584.90027958993,3.00142800382918,,3.84756465657111e-08,5.64004613833442e-05,5.57912270344889e-05,7.93326733336775e-05,44.6888698769729,1.53832812785754e-08,-4.92866808298024e-10,1.53911747630416e-08,-1.83507867111064,528,25,5,13.4965986394558,-0.076805167652275,0.0009523456136884,4369,0,2.1937401,2.2735829,-0.024,-0.024,,2.19405,,,,,,,,,,,,,,,,,,,,,,,2.2094899875,,,,
,11371782.01,2.20199835,-0.024,1995.30009319664,3.00076496165185,,2.58841601561295e-08,4.84566238627239e-05,4.98834516184528e-05,6.95442531165877e-05,45.8312528967956,1.53793668485205e-08,-6.26398260182148e-10,1.53921180947176e-08,-2.33235545680094,399,25,5,13.4965986394558,-0.076805167652275,0.0011561682153501,4373,0,2.1978247,2.2079012,-0.024,-0.024,,2.193075,,,,,,,,,,,,,,,,,,,,,,,2.20199835,,,,
,11371815.95,2.20326605,-0.024,2511.90074557316,3.00145181849252,,2.24996248782478e-08,4.16635285340817e-05,4.4383165309732e-05,6.08745839642558e-05,46.8103176928531,1.53736582425623e-08,-7.93547134883821e-10,1.53941250097037e-08,-2.95483257772827,502,25,5,13.4965986394558,-0.076805167652275,0.0014094547005309,4373,0,2.1980555,2.2102046,-0.024,-0.024,,2.191475,,,,,,,,,,,,,,,,,,,,,,,2.20326605,,,,
,11371849.56,2.204848275,-0.024,3162.30009319665,3.00186717732107,,1.15556658202857e-08,3.58593278146839e-05,3.93027301184737e-05,5.32033456286966e-05,47.6230596939972,1.53646775789299e-08,-1.0032613506187602e-09,1.53973975217281e-08,-3.73591661573107,451,25,5,13.4965986394558,-0.076805167652275,0.0017247389878956,4373,0,2.2017179,2.211518,-0.024,-0.024,,2.191175,,,,,,,,,,,,,,,,,,,,,,,2.204848275,,,,
,11371885.32,2.205762825,-0.024,3981.09972041007,2.99951164747064,,1.04786093749455e-08,3.08566740491321e-05,3.46582567742211e-05,4.64039771571599e-05,48.3209326790826,1.53504642702628e-08,-1.26727432469879e-09,1.54026860490843e-08,-4.71941326951679,568,25,5,13.4965986394558,-0.076805167652275,0.0021197168708594,4373,0,2.2020011,2.2160406,-0.024,-0.024,,2.1854875,,,,,,,,,,,,,,,,,,,,,,,2.205762825,,,,
,11371920.25,2.205847625,-0.024,5011.89934762349,2.99872559688416,,1.41218172716399e-08,2.65889107931947e-05,3.04671059227564e-05,4.04377882738031e-05,48.8885110714484,1.53317638790357e-08,-1.5978356943588201e-09,1.54148001138085e-08,-5.94973540946972,455,25,5,13.4965986394558,-0.076805167652275,0.0026182151568369,4373,0,2.2034225,2.2065904,-0.024,-0.024,,2.1846125,,,,,,,,,,,,,,,,,,,,,,,2.205847625,,,,
,11371954.9,2.2073649125,-0.024,6309.59972041006,3.00162843652362,,7.848143037855131e-09,2.2938105671027e-05,2.66888751400588e-05,3.51916573638817e-05,49.3221542407882,1.53001957620646e-08,-2.0162342798241e-09,1.54324719675312e-08,-7.50708684279675,573,25,5,13.4965986394558,-0.076805167652275,0.0032345357670399,4373,0,2.2059417,2.2088449,-0.024,-0.024,,2.1817875,,,,,,,,,,,,,,,,,,,,,,,2.2073649125,,,,
,11372017.22,2.2044715,-0.024,7943.30009319665,2.99933830360841,,1.96384437858762e-08,1.97769821307497e-05,2.33932806927618e-05,3.06329006750966e-05,49.7883894061739,1.52543249011867e-08,-2.5305352038672703e-09,1.54627952391855e-08,-9.41900235767673,611,5,5,13.4965986394558,-0.076805167652275,0.0039733710033215,4373,0,2.203047,2.2058561,-0.024,-0.024,,2.1737125,,,,,,,,,,,,,,,,,,,,,,,2.2044715,,,,
